SITE;ELEVATION.m;YEAR;SEASON;SST.C;S.date;t.units;R.replicate;LGR;LLRw;TurnR;PI;SDW;NH4.uM.mean;NO2.uM.mean;NO3.uM.mean;PO4.uM.mean;Plant.num;t.d.;L.gross.cm;n;DW_LL
CN3;-0.5;2006;FALL;57.373;23/10/2006;7;2;4.7;4.9;0.015;28;0.312;NA;NA;NA;NA;31;28;64.5;2;0.002086957
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;2;2;4.4;0.006;NA;0.3232;NA;NA;NA;NA;34;29;14.5;1;0.004684058
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;2;0.8;3.7;0.004;30;0.2152;0.734;0.283;0.516;0.227;33;30;22;2;0.001956364
CN3;-0.5;2007;SUMMER;69.567;30/06/2007;10;2;8.2;8.1;0.026;16;0.3128;1.719;0.109;0.605;0.248;37;32;97.7;3;0.002455259
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;2;10.2;8.6;0.014;16.5;0.7136;1.081;0.935;3;0.074;32;33;115;3;0.003236281
CN3;-0.5;2008;WINTER;48.163;24/01/2008;12;2;7.6;4.9;0.025;14;0.2983;0.166;0.229;0.5;0.026;33;28;60.7;3;0.003542755
CN3;-0.5;2008;SPRING;57.199;29/04/2008;13;2;4.2;3;0.014;NA;0.298;1.136;1.022;0.46;0.411;30;29;42.4;4;0.001870684
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;2;12;11.8;0.02;13;0.5947;0.859;0.468;0.23;0.237;28;26;150.3;3;0.002080098
CN3;-0.5;2008;FALL;50.031;29/10/2008;15;2;3.9;11.1;0.01;29;0.3994;1.525;0.956;6.323;0.026;36;29;49;2;0.003342259
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;2;1.1;0.4;0.006;NA;0.198;0.804;1.163;16.162;0.111;30;28;10.2;1;0.003384615
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;2;4.4;4.5;0.015;15.5;0.2917;1.663;0.815;0.867;0.026;30;31;77.7;3;0.002110709
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;2;11.7;7.7;0.025;14;0.4694;0.166;0.109;0.105;0.026;28;28;129.7;3;0.002203756
CN3;-0.5;2009;FALL;56.643;11/11/2009;19;2;4.5;7;0.013;29;0.3588;0.166;0.167;1.637;0.059;27;29;45.3;2;0.002900566
CN3;-0.5;2010;WINTER;48.213;10/02/2010;20;2;2.9;3.8;0.013;22;0.2222;5.737;1.435;24.597;0.026;33;44;43.9;3;0.003023129
CN3;-0.5;2010;SPRING;58.65;30/04/2010;21;2;9;3.7;0.019;9.7;0.4774;NA;NA;NA;NA;31;29;70.8;4;0.002180905
CN3;-0.5;2010;SUMMER;74.023;13/07/2010;22;2;17.9;9.4;0.022;10;0.8065;0.166;0.109;0.105;0.026;22;30;231.4;4;0.002321531
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;2;7.6;13.5;0.012;15.5;0.626;1.064;0.315;1.476;0.026;27;31;71.4;3;0.003164813
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;2;16.3;14.6;0.021;9.7;0.7922;0.166;0.109;1.653;0.026;27;29;202.4;4;0.00248183
CN3;-0.5;2011;FALL;55.175;14/10/2011;27;2;4.1;12.2;0.012;28;0.3335;0.707;0.253;2.653;0.085;28;28;40.9;2;0.002477712
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;2;1.5;NA;0.015;30;0.1;0.166;0.109;0.105;0.026;28;30;18.6;2;0.002695418
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;2;13.6;3.5;0.019;14.5;0.7201;0.166;0.109;1.944;0.026;27;29;149.7;3;0.002401935
CN3;-0.5;2012;SUMMER;68.57;19/07/2012;30;2;6.2;4.8;0.022;10;0.2836;1.336;0.109;2.419;0.026;30;30;113.8;4;0.001707405
CN3;-0.5;2012;FALL;55.749;01/11/2012;31;2;3.1;9.1;0.011;NA;0.294;0.873;0.444;8.202;0.06;27;29;24.2;1;0.003828125
CN3;-0.5;2013;SPRING;56.744;11/05/2013;33;2;2.7;2.7;0.016;16;0.1653;0.431;0.288;11.558;0.033;29;32;87;3;0.001229911
CN3;-0.5;2013;SUMMER;74.123;01/08/2013;34;2;10.7;5.8;0.019;14.5;0.5528;NA;NA;NA;NA;32;29;127.5;3;0.002272092
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;1;0.1;0.2;0.005;30;0.0185;0.166;0.109;0.105;0.026;11;30;3.1;2;0.001057143
CN1;0.4;2012;FALL;55.749;01/11/2012;28;1;0.5;2.7;0.01;29;0.049;0.873;0.444;8.202;0.06;15;29;12.4;2;0.001794872
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;1;0.2;0.4;0.014;30;0.0145;0.166;0.109;0.105;0.026;10;30;4.9;2;0.001074074
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;1;7.9;3.9;0.033;5.5;0.2396;1.336;0.109;2.419;0.026;15;11;60.8;3;0.001444244
CN1;0.4;2012;FALL;55.749;01/11/2012;28;1;1.1;2.8;0.011;29;0.1;0.873;0.444;8.202;0.06;14;29;7.5;1;0.002398082
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;1;3.4;2.7;0.011;14;0.3112;0.734;0.283;0.516;0.227;30;28;61.5;4;0.001783381
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;1;0.7;0;0.008;30;0.0921;NA;NA;NA;NA;1;30;10.7;4;0.0024047
CN1;0.4;2006;SPRING;60.412;10/05/2006;5;1;2.6;0.6;0.023;10;0.1123;NA;NA;NA;NA;5;30;69.5;3;0.001039815
CN1;0.4;2006;SUMMER;72.76;12/07/2006;6;1;5.2;2.2;0.022;7.3;0.2367;6.513;0.174;4.178;0.395;5;29;79;4;0.001813793
CN1;0.4;2006;FALL;57.373;23/10/2006;7;1;1.1;1.4;0.015;26;0.0724;NA;NA;NA;NA;3;26;18.8;2;0.001563715
CN1;0.4;2007;WINTER;44.395;04/02/2007;8;1;0.6;1;0.018;28;0.0331;NA;NA;NA;NA;1;28;11.5;2;0.001891429
CN1;0.4;2007;SPRING;57.63;02/05/2007;9;1;1.9;1.7;0.016;31;0.1193;0.734;0.283;0.516;0.227;1;31;32.5;2;0.001519745
CN1;0.4;2007;SUMMER;69.567;30/06/2007;10;1;4.2;2.5;0.029;9.3;0.1429;1.719;0.109;0.605;0.248;1;28;89.2;4;0.001307411
CN1;0.4;2007;FALL;55.583;14/10/2007;11;1;0.3;2;0.003;34;0.0892;1.081;0.935;3;0.074;9;34;13.5;2;0.00196044
CN1;0.4;2008;WINTER;48.163;24/01/2008;12;1;1.4;1.8;0.017;30;0.0832;0.166;0.229;0.5;0.026;2;30;17.8;2;0.002498498
CN1;0.4;2008;SPRING;57.199;29/04/2008;13;1;1.6;0.5;0.024;14;0.0666;1.136;1.022;0.46;0.411;11;28;38.4;3;0.001058824
CN1;0.4;2008;SUMMER;68.568;16/07/2008;14;1;3.6;2.3;0.027;14;0.1317;0.859;0.468;0.23;0.237;15;28;68.3;3;0.001590527
CN1;0.4;2008;FALL;50.031;29/10/2008;15;1;1.1;4.3;0.018;30;0.0612;1.525;0.956;6.323;0.026;21;30;19.8;2;0.001810651
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;1;1.1;1.6;0.013;30;0.0836;0.804;1.163;16.162;0.111;2;30;12.5;2;0.002833898
CN1;0.4;2009;SPRING;58.691;09/05/2009;17;1;3.3;2;0.025;10.7;0.132;1.663;0.815;0.867;0.026;2;32;81.3;4;0.001479821
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;1;7.1;4.4;0.022;14;0.3282;0.166;0.109;0.105;0.026;1;28;63.4;3;0.002127025
CN1;0.4;2009;FALL;56.643;11/11/2009;19;1;0.3;1.3;0.014;30;0.0207;0.166;0.167;1.637;0.059;5;30;11.8;2;0.001224852
CN1;0.4;2010;SPRING;58.65;30/04/2010;20;1;4;1.7;0.025;14.5;0.1573;NA;NA;NA;NA;4;29;55.1;3;0.001877088
CN1;0.4;2010;FALL;54.595;24/10/2010;21;1;0.6;1.2;0.017;31;0.0352;1.064;0.315;1.476;0.026;4;31;6.5;2;0.001103448
CN1;0.4;2011;WINTER;47.553;04/02/2011;22;1;0.7;1.3;0.01;NA;0.0731;0.166;0.525;11.694;0.026;4;28;4;1;0.002208459
CN1;0.4;2011;SUMMER;70.903;01/07/2011;23;1;1.6;0.4;0.021;14.5;0.0768;0.166;0.109;1.653;0.026;8;29;55.4;5;0.000718428
CN1;0.4;2011;FALL;55.175;14/10/2011;24;1;0.5;1.6;0.019;28;0.0268;0.707;0.253;2.653;0.085;2;28;16.1;2;0.000981685
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;1;NA;0.3;NA;NA;0.0144;0.166;0.109;0.105;0.026;1;30;1.6;1;0.001190083
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;1;1.9;0.3;0.03;9.7;0.0633;0.166;0.109;1.944;0.026;2;29;106.7;4;0.000512551
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;1;2.7;2;0.037;5.5;0.0726;1.336;0.109;2.419;0.026;1;11;26.8;3;0.000997253
CN1;0.4;2012;FALL;55.749;01/11/2012;28;1;1.3;6.6;0.012;29;0.1065;0.873;0.444;8.202;0.06;1;29;23.1;2;0.002104743
CN1;0.4;2013;WINTER;44.21;12/02/2013;29;1;0.5;2.1;0.007;27;0.0706;0.932;0.188;3.968;0.026;6;27;8.4;2;0.002869919
CN1;0.4;2013;SPRING;56.744;11/05/2013;30;1;2.9;2;0.025;10.7;0.1156;0.431;0.288;11.558;0.033;1;32;64.9;5;0.001497488
CN1;0.4;2013;FALL;56.863;12/11/2013;31;1;0.8;3.1;0.01;43;0.0775;1.635;0.109;0.279;0.026;3;43;17.4;2;0.001997814
CN1;0.4;2014;SPRING;60.534;13/05/2014;32;1;4;0.7;0.029;6;0.1387;0.166;0.251;0.105;0.026;1;30;102.2;6;0.001212413
CN1;0.4;2014;FALL;57.609;23/10/2014;33;1;0.4;1;0.019;29;0.0216;4.573;0.569;3.919;0.026;1;29;4.5;1;0.000920398
CN2;-0.08;2006;WINTER;43.916;14/02/2006;3;1;2.1;5.6;0.017;28;0.1202;NA;NA;NA;NA;21;28;14.6;1;0.003993355
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;1;5;3.1;0.023;14.5;0.2129;NA;NA;NA;NA;22;29;89.5;3;0.001588806
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;1;9.8;6.7;0.02;15;0.4966;6.513;0.174;4.178;0.395;21;30;150.4;3;0.002007276
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;1;2.1;4.6;0.009;28;0.2437;NA;NA;NA;NA;18;28;41.5;2;0.001698258
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;1;3.2;NA;0.01;32;0.3231;NA;NA;NA;NA;23;32;30.5;2;0.003330928
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;1;6;5.1;0.016;14;0.3667;0.734;0.283;0.516;0.227;21;28;96.4;3;0.002246936
CN2;-0.08;2007;SUMMER;69.567;30/06/2007;9;1;7.5;6;0.023;10.3;0.3257;1.719;0.109;0.605;0.248;24;31;123;4;0.001915882
CN2;-0.08;2007;FALL;55.583;14/10/2007;10;1;7.1;7.4;0.019;30;0.379;1.081;0.935;3;0.074;22;30;73;2;0.001927772
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;1;2.4;4.3;0.016;29;0.1516;0.166;0.229;0.5;0.026;21;29;30.2;2;0.002365055
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;1;9.8;1.6;0.02;14;0.497;1.136;1.022;0.46;0.411;16;28;64.1;3;0.002586988
CN2;-0.08;2008;SUMMER;68.568;16/07/2008;13;1;6.2;3.7;0.02;13.5;0.3128;0.859;0.468;0.23;0.237;18;27;95.8;3;0.001809138
CN2;-0.08;2008;FALL;50.031;29/10/2008;14;1;3;7.5;0.006;NA;0.5083;1.525;0.956;6.323;0.026;1;28;7;1;0.002718182
CN2;-0.08;2009;WINTER;43.268;10/02/2009;15;1;1.1;0.5;0.008;NA;0.1354;0.804;1.163;16.162;0.111;19;29;12.6;1;0.002886994
CN2;-0.08;2009;SPRING;58.691;09/05/2009;16;1;3.3;2.7;0.017;14;0.1994;1.663;0.815;0.867;0.026;16;28;44.5;3;0.001960669
CN2;-0.08;2009;SUMMER;70.875;08/07/2009;17;1;10.5;13.2;0.022;13;0.4694;0.166;0.109;0.105;0.026;17;26;120.3;3;0.002357609
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;1;3.6;7;0.011;28;0.3423;0.166;0.167;1.637;0.059;16;28;30.1;2;0.003565625
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;1;0.8;0.2;0.008;28;0.1003;5.737;1.435;24.597;0.026;16;28;3.3;1;0.001932563
CN2;-0.08;2010;SPRING;58.65;30/04/2010;20;1;14;5.2;0.025;9.7;0.5527;NA;NA;NA;NA;16;29;122;3;0.002805584
CN2;-0.08;2010;FALL;54.595;24/10/2010;21;1;3.7;7.4;0.015;31;0.2513;1.064;0.315;1.476;0.026;22;31;35.1;2;0.003276402
CN2;-0.08;2011;WINTER;47.553;04/02/2011;22;1;2.1;1.1;0.01;28;0.2102;0.166;0.525;11.694;0.026;17;28;17.9;2;0.003123328
CN2;-0.08;2011;SUMMER;70.903;01/07/2011;23;1;5.5;4.2;0.021;9.7;0.2567;0.166;0.109;1.653;0.026;16;29;77.5;4;0.002005469
CN2;-0.08;2012;WINTER;42.771;07/02/2012;24;1;0.4;NA;0.006;30;0.0701;0.166;0.109;0.105;0.026;18;30;6;2;0.001941828
CN2;-0.08;2012;SPRING;57.003;22/05/2012;25;1;2.4;0.5;0.021;14.5;0.1164;0.166;0.109;1.944;0.026;16;29;48.4;3;0.001262473
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;1;7.5;4.2;0.018;14.5;0.4191;1.336;0.109;2.419;0.026;16;29;110.8;3;0.00181115
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;1;1.6;8.8;0.005;NA;0.3549;0.873;0.444;8.202;0.06;16;29;16;1;0.003795722
CN2;-0.08;2013;WINTER;44.21;12/02/2013;28;1;1.6;NA;0.01;27;0.1559;0.932;0.188;3.968;0.026;17;27;17.1;2;0.003194672
CN2;-0.08;2013;SPRING;56.744;11/05/2013;29;1;10.3;2.5;0.022;10.7;0.4714;0.431;0.288;11.558;0.033;17;32;177.6;4;0.001803366
CN3;-0.5;2006;WINTER;43.916;14/02/2006;4;1;1.5;4.6;0.017;14.5;0.086;NA;NA;NA;NA;31;29;18.7;2;0.002356164
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;1;11.3;3;0.018;14;0.6223;NA;NA;NA;NA;31;28;135.5;3;0.002091765
CN3;-0.5;2006;SUMMER;72.76;12/07/2006;6;1;7;7.5;0.012;15.5;0.6015;6.513;0.174;4.178;0.395;35;31;113;5;0.002207339
CN3;-0.5;2006;FALL;57.373;23/10/2006;7;1;2;4.1;0.011;28;0.1903;NA;NA;NA;NA;28;28;11.5;2;0.001714414
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;1;4.5;7.7;0.016;29;0.2773;NA;NA;NA;NA;33;29;33;2;0.003747297
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;1;0.7;2.4;0.005;NA;0.1343;0.734;0.283;0.516;0.227;31;30;20.5;1;0.001744156
CN3;-0.5;2007;SUMMER;69.567;30/06/2007;10;1;9.6;8.1;0.025;10.7;0.39;1.719;0.109;0.605;0.248;35;32;154.3;4;0.001987768
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;1;6.2;12.2;0.018;16.5;0.3444;1.081;0.935;3;0.074;31;33;64.5;2;0.002918644
CN3;-0.5;2008;WINTER;48.163;24/01/2008;12;1;5.9;8.4;0.016;14;0.3652;0.166;0.229;0.5;0.026;32;28;35.3;3;0.005114846
CN3;-0.5;2008;SPRING;57.199;29/04/2008;13;1;10.4;0.1;0.017;9.7;0.5946;1.136;1.022;0.46;0.411;28;29;123;4;0.002504634
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;1;7.5;7;0.021;13;0.3547;0.859;0.468;0.23;0.237;26;26;115.4;3;0.001693079
CN3;-0.5;2008;FALL;50.031;29/10/2008;15;1;5.8;8.6;0.013;29;0.4539;1.525;0.956;6.323;0.026;32;29;56;2;0.003281996
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;1;3;3.8;0.021;NA;0.1442;0.804;1.163;16.162;0.111;27;28;19.6;2;0.003939891
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;1;1.5;4.7;0.007;31;0.2071;1.663;0.815;0.867;0.026;27;31;27;2;0.001837622
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;1;5.7;6.8;0.026;7;0.2154;0.166;0.109;0.105;0.026;26;28;83.9;5;0.00192838
CN3;-0.5;2009;FALL;56.643;11/11/2009;19;1;6.7;7.2;0.012;29;0.5388;0.166;0.167;1.637;0.059;26;29;70.2;2;0.002843525
CN3;-0.5;2010;WINTER;48.213;10/02/2010;20;1;1.5;0.8;0.007;44;0.2099;5.737;1.435;24.597;0.026;31;44;24.7;2;0.002650253
CN3;-0.5;2010;SPRING;58.65;30/04/2010;21;1;12.2;NA;0.017;9.7;0.7187;NA;NA;NA;NA;27;29;101.5;3;0.002722348
CN3;-0.5;2010;SUMMER;74.023;13/07/2010;22;1;15.8;11.8;0.023;10;0.7005;0.166;0.109;0.105;0.026;21;30;202;4;0.002322613
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;1;3.4;18;0.009;31;0.3678;1.064;0.315;1.476;0.026;26;31;32;2;0.003157082
CN3;-0.5;2011;WINTER;47.553;04/02/2011;24;1;2.5;0.3;0.009;28;0.2641;0.166;0.525;11.694;0.026;30;28;27.8;2;0.002596853
CN3;-0.5;2011;SPRING;61.123;26/05/2011;25;1;5.2;3.1;0.022;8.6;0.239;1.566;0.312;1.682;0.026;26;43;239.2;9;0.000931942
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;1;16.1;10.2;0.023;14.5;0.6971;0.166;0.109;1.653;0.026;26;29;132;3;0.002386511
CN3;-0.5;2011;FALL;55.175;14/10/2011;27;1;2.8;10.3;0.018;28;0.1599;0.707;0.253;2.653;0.085;27;28;22.9;2;0.001776667
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;1;1;NA;0.016;30;0.0607;0.166;0.109;0.105;0.026;27;30;20.9;2;0.00198366
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;1;9.8;7.2;0.028;9.7;0.3451;0.166;0.109;1.944;0.026;26;29;112.6;4;0.002076414
CN3;-0.5;2012;SUMMER;68.57;19/07/2012;30;1;6.7;7.4;0.028;10;0.2393;1.336;0.109;2.419;0.026;28;30;124.6;4;0.001632333
CN3;-0.5;2012;FALL;55.749;01/11/2012;31;1;3.6;15.5;0.01;NA;0.3599;0.873;0.444;8.202;0.06;26;29;29.2;1;0.003691282
CN3;-0.5;2013;WINTER;44.21;12/02/2013;32;1;2.5;NA;0.007;NA;0.3711;0.932;0.188;3.968;0.026;29;28;16.3;1;0.003947872
CN3;-0.5;2013;SPRING;56.744;11/05/2013;33;1;8.3;2.7;0.02;16;0.4174;0.431;0.288;11.558;0.033;27;32;138.4;3;0.001852641
CN3;-0.5;2013;SUMMER;74.123;01/08/2013;34;1;1.7;8.5;0.005;29;0.3473;NA;NA;NA;NA;30;29;32.4;2;0.002513025
